Anno;Provincia;Tipo rifiuti;Quantita di rifiuti 
2000;VERONA;PERICOLOSI;80500.00
2000;VERONA;SPECIALI NP;2148710.00
2000;VICENZA;PERICOLOSI;95413.00
2000;VICENZA;SPECIALI NP;1630296.00
2000;BELLUNO;PERICOLOSI;28583.00
2000;BELLUNO;SPECIALI NP;179471.00
2000;TREVISO;PERICOLOSI;48756.00
2000;TREVISO;SPECIALI NP;1042522.00
2000;CITTA' METROPOLITANA DI VENEZIA;PERICOLOSI;192684.00
2000;CITTA' METROPOLITANA DI VENEZIA;SPECIALI NP;994098.00
2000;PADOVA;PERICOLOSI;51799.00
2000;PADOVA;SPECIALI NP;1075337.00
2000;ROVIGO;PERICOLOSI;19300.00
2000;ROVIGO;SPECIALI NP;375205.00
2001;VERONA;PERICOLOSI;81237.00
2001;VERONA;SPECIALI NP;2176370.00
2001;VICENZA;PERICOLOSI;90966.00
2001;VICENZA;SPECIALI NP;1824306.00
2001;BELLUNO;PERICOLOSI;22675.00
2001;BELLUNO;SPECIALI NP;185143.00
2001;TREVISO;PERICOLOSI;49900.00
2001;TREVISO;SPECIALI NP;1116935.00
2001;CITTA' METROPOLITANA DI VENEZIA;PERICOLOSI;227142.00
2001;CITTA' METROPOLITANA DI VENEZIA;SPECIALI NP;1056815.00
2001;PADOVA;PERICOLOSI;48590.00
2001;PADOVA;SPECIALI NP;1077397.00
2001;ROVIGO;PERICOLOSI;18727.00
2001;ROVIGO;SPECIALI NP;548471.00
2002;VERONA;PERICOLOSI;98992.00
2002;VERONA;SPECIALI NP;2196831.00
2002;VICENZA;PERICOLOSI;121175.00
2002;VICENZA;SPECIALI NP;1670348.00
2002;BELLUNO;PERICOLOSI;27759.00
2002;BELLUNO;SPECIALI NP;176947.00
2002;TREVISO;PERICOLOSI;76677.00
2002;TREVISO;SPECIALI NP;1059183.00
2002;CITTA' METROPOLITANA DI VENEZIA;PERICOLOSI;213627.00
2002;CITTA' METROPOLITANA DI VENEZIA;SPECIALI NP;1065582.00
2002;PADOVA;PERICOLOSI;90086.00
2002;PADOVA;SPECIALI NP;1065512.00
2002;ROVIGO;PERICOLOSI;30346.00
2002;ROVIGO;SPECIALI NP;460198.00
2003;VERONA;PERICOLOSI;114487.00
2003;VERONA;SPECIALI NP;1991431.00
2003;VICENZA;PERICOLOSI;130194.00
2003;VICENZA;SPECIALI NP;1742488.00
2003;BELLUNO;PERICOLOSI;22257.00
2003;BELLUNO;SPECIALI NP;158637.00
2003;TREVISO;PERICOLOSI;74316.00
2003;TREVISO;SPECIALI NP;1210823.00
2003;CITTA' METROPOLITANA DI VENEZIA;PERICOLOSI;200345.00
2003;CITTA' METROPOLITANA DI VENEZIA;SPECIALI NP;1225965.00
2003;PADOVA;PERICOLOSI;95422.00
2003;PADOVA;SPECIALI NP;1003196.00
2003;ROVIGO;PERICOLOSI;26819.00
2003;ROVIGO;SPECIALI NP;412931.00
2004;VERONA;PERICOLOSI;101257.00
2004;VERONA;SPECIALI NP;2056121.00
2004;VICENZA;PERICOLOSI;116372.00
2004;VICENZA;SPECIALI NP;1704050.00
2004;BELLUNO;PERICOLOSI;27212.00
2004;BELLUNO;SPECIALI NP;170442.00
2004;TREVISO;PERICOLOSI;84577.00
2004;TREVISO;SPECIALI NP;1173262.00
2004;CITTA' METROPOLITANA DI VENEZIA;PERICOLOSI;242096.00
2004;CITTA' METROPOLITANA DI VENEZIA;SPECIALI NP;1348737.00
2004;PADOVA;PERICOLOSI;86330.00
2004;PADOVA;SPECIALI NP;1103589.00
2004;ROVIGO;PERICOLOSI;20971.00
2004;ROVIGO;SPECIALI NP;221146.00
2005;VERONA;PERICOLOSI;91604.00
2005;VERONA;SPECIALI NP;1874919.00
2005;VICENZA;PERICOLOSI;141989.00
2005;VICENZA;SPECIALI NP;1474127.00
2005;BELLUNO;PERICOLOSI;29432.00
2005;BELLUNO;SPECIALI NP;155173.00
2005;TREVISO;PERICOLOSI;80177.00
2005;TREVISO;SPECIALI NP;1087391.00
2005;CITTA' METROPOLITANA DI VENEZIA;PERICOLOSI;272444.00
2005;CITTA' METROPOLITANA DI VENEZIA;SPECIALI NP;1417521.00
2005;PADOVA;PERICOLOSI;105083.00
2005;PADOVA;SPECIALI NP;1112555.00
2005;ROVIGO;PERICOLOSI;22377.00
2005;ROVIGO;SPECIALI NP;207817.00
2006;VERONA;PERICOLOSI;116961.00
2006;VERONA;SPECIALI NP;2074000.00
2006;VICENZA;PERICOLOSI;167894.00
2006;VICENZA;SPECIALI NP;1683000.00
2006;BELLUNO;PERICOLOSI;40636.00
2006;BELLUNO;SPECIALI NP;168000.00
2006;TREVISO;PERICOLOSI;84064.00
2006;TREVISO;SPECIALI NP;1158000.00
2006;CITTA' METROPOLITANA DI VENEZIA;PERICOLOSI;279819.00
2006;CITTA' METROPOLITANA DI VENEZIA;SPECIALI NP;1295000.00
2006;PADOVA;PERICOLOSI;96365.00
2006;PADOVA;SPECIALI NP;1096000.00
2006;ROVIGO;PERICOLOSI;25336.00
2006;ROVIGO;SPECIALI NP;332000.00
2007;VERONA;PERICOLOSI;138412.00
2007;VERONA;SPECIALI NP;1873844.00
2007;VICENZA;PERICOLOSI;207386.00
2007;VICENZA;SPECIALI NP;1718692.00
2007;BELLUNO;PERICOLOSI;40363.00
